participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,cot_reasoning,thought_summary,example_pairs,raw_response,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
2,80,1_62,62,Female,White or Caucasian,4.0,3.0,3.375,5.411764706,,,,,N must be divisible by block_n,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,
3,75,1_58,31,Male,White or Caucasian,6.0,1.0,3.125,5.411764706,,,,,N must be divisible by block_n,4.0,5.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,7.0,1.0,7.0,5.0,6.0,7.0,3.0,,,,,,,,,,,,,,,,,
4,75,1_58,41,Female,White or Caucasian,2.0,1.0,1.125,5.588235294,,,,,N must be divisible by block_n,6.0,6.0,7.0,6.0,7.0,7.0,6.0,4.0,6.0,1.0,5.0,6.0,6.0,4.0,5.0,7.0,6.0,,,,,,,,,,,,,,,,,
5,47,1_32,55,Male,White or Caucasian,5.0,4.0,2.375,5.058823529,,,,,N must be divisible by block_n,4.0,5.0,6.0,4.0,6.0,6.0,7.0,4.0,5.0,4.0,7.0,1.0,5.0,4.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,
6,47,1_32,61,Male,White or Caucasian,5.0,2.0,2.875,5.0,,,,,N must be divisible by block_n,4.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0,5.0,6.0,,,,,,,,,,,,,,,,,
6,120,1_99,61,Male,White or Caucasian,5.0,2.0,2.875,3.117647059,,,,,N must be divisible by block_n,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,
6,111,1_90,61,Male,White or Caucasian,5.0,2.0,2.875,3.705882353,,,,,N must be divisible by block_n,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,6.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,
7,47,1_32,54,Non-binary / third gender,White or Caucasian,6.0,1.0,1.375,4.117647059,,,,,N must be divisible by block_n,2.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,1.0,6.0,1.0,3.0,6.0,5.0,6.0,5.0,,,,,,,,,,,,,,,,,
7,8,1_105,54,Non-binary / third gender,White or Caucasian,6.0,1.0,1.375,3.411764706,,,,,N must be divisible by block_n,5.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,7.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
8,111,1_90,32,Male,Asian,3.0,2.0,2.375,3.470588235,,,,,N must be divisible by block_n,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,
